Obs.year,Length,AMD,LngLat,T35,P35,T68max,P68,T911,T122min,Age Group
2012,2,10.80239961,"65.333° N, 15.4730° E",2.5625,153.9499969,15,278.2000122,5.3125,-16.8125,adult
2014,4,9.579946131,"65.333° N, 15.4730° E",3.5625,152.15625,19,168.3999939,6.78125,-15,adult
2013,3,8.825171401,"65.333° N, 15.4730° E",6.875,127.9562531,17,325.8999939,7.34375,-15,adult
2017,7,5.261018609,"65.333° N, 15.4730° E",2.34375,177.7999878,16,298.2999878,7.46875,-13.4375,adult
2012,2,6.627691388,"60.607299° N, 5.882365° E",6.25,560.1624756,14,689.7999878,7.71875,-5.9375,adult
2012,2,15.84624697,"60.607299° N, 5.882365° E",6.25,560.1624756,14,689.7999878,7.71875,-5.9375,young
2012,2,16.47930414,"60.607299° N, 5.882365° E",6.25,560.1624756,14,689.7999878,7.71875,-5.9375,adult
2012,2,21.67434809,"60.607299° N, 5.882365° E",6.25,560.1624756,14,689.7999878,7.71875,-5.9375,young
2015,5,6.494711068,"65.333° N, 15.4730° E",3.4375,163.1312561,17,267.6000061,7.75,-15,adult
2016,6,4.823049298,"65.333° N, 15.4730° E",4.875,145.0874939,17,265.1000061,7.875,-17,adult
2013,3,5.249401914,"60.607299° N, 5.882365° E",7.4375,432.7625122,16,665,8.96875,-5.5625,adult
2013,3,11.62227603,"60.607299° N, 5.882365° E",7.4375,432.7625122,16,665,8.96875,-5.5625,young
2013,3,13.40591882,"60.607299° N, 5.882365° E",7.4375,432.7625122,16,665,8.96875,-5.5625,adult
2013,3,18.37133616,"60.607299° N, 5.882365° E",7.4375,432.7625122,16,665,8.96875,-5.5625,young
2015,5,3.90430622,"60.607299° N, 5.882365° E",5.09375,835.6062012,16,618.2999878,9.78125,-2.1875,adult
2015,5,8.765496368,"60.607299° N, 5.882365° E",5.09375,835.6062012,16,618.2999878,9.78125,-2.1875,young
2015,5,10.77456509,"60.607299° N, 5.882365° E",5.09375,835.6062012,16,618.2999878,9.78125,-2.1875,adult
2015,5,15.33244391,"60.607299° N, 5.882365° E",5.09375,835.6062012,16,618.2999878,9.78125,-2.1875,young
2014,4,5.400717703,"60.607299° N, 5.882365° E",7.125,674.9562378,17,611.9000244,10.125,-3,adult
2014,4,11.13362591,"60.607299° N, 5.882365° E",7.125,674.9562378,17,611.9000244,10.125,-3,young
2014,4,12.44796041,"60.607299° N, 5.882365° E",7.125,674.9562378,17,611.9000244,10.125,-3,adult
2014,4,16.69542147,"60.607299° N, 5.882365° E",7.125,674.9562378,17,611.9000244,10.125,-3,young
2010,15,5.506666667,"50.708333° N, 15.833611° E",8.875,216.437851,22.67142857,356.2471388,10.1875,-11,adult
2013,18,4.440740741,"50.708333° N, 15.833611° E",10.25,195.2582062,22,301.4042816,10.46875,-7,adult
2016,6,3.375299043,"60.607299° N, 5.882365° E",7.75,538.7062378,15,796.7000122,10.65625,-5,adult
2016,6,7.926452785,"60.607299° N, 5.882365° E",7.75,538.7062378,15,796.7000122,10.65625,-5,young
2016,6,9.353029394,"60.607299° N, 5.882365° E",7.75,538.7062378,15,796.7000122,10.65625,-5,adult
2016,6,1.31E+01,"60.607299° N, 5.882365° E",7.75,538.7062378,15,796.7000122,10.65625,-5,young
2010,15,1.173944166,"50.650833° N, 15.888611° E",9.59375,202.5437622,24,343,10.96875,-10.125,adult
2010,15,5.654121864,"50.664167° N, 15.851944° E",9.59375,208.84375,23,359.8000183,10.96875,-11,adult
2010,15,5.723104056,"50.618889° N, 15.850278° E",9.59375,196.84375,24,328.7000122,10.96875,-10.125,adult
2013,18,1.531058618,"50.650833° N, 15.888611° E",11.0625,183.8187561,23,289.6000061,11.125,-7,adult
2013,18,4.3393592,"50.618889° N, 15.850278° E",11.0625,179.71875,24,274,11.125,-6,adult
2013,18,4.424283154,"50.664167° N, 15.851944° E",11.0625,189.9187469,22,302.5,11.125,-7,adult
2010,7,7.550658561,"58.25° N, 27.4° E",12.96875,135.34375,27,238.1999969,11.6875,-16,adult
2012,6,5.611005291,"59.312062° N, 10.26053° E",12.4375,161.125,20,325.8999939,11.90625,-6.25,adult
2012,6,6.873899371,"59.312062° N, 10.26053° E",12.4375,161.125,20,325.8999939,11.90625,-6.25,young
2012,6,8.307692308,"59.312062° N, 10.26053° E",12.4375,161.125,20,325.8999939,11.90625,-6.25,adult
2012,6,10.42014602,"59.312062° N, 10.26053° E",12.4375,161.125,20,325.8999939,11.90625,-6.25,young
2008,12,3.817725753,"55.33376 ° N, 24.00108 ° E",11.375,133.8374939,23,191.6999969,12,-2,adult
2010,14,4.173918231,"55.33376 ° N, 24.00108 ° E",12.875,163.9312592,26,296.2999878,12,-13,adult
2008,12,6.602057613,"55.33376 ° N, 24.00108 ° E",11.375,133.8374939,23,191.6999969,12,-2,adult
2013,10,6.880671506,"58.25° N, 27.4° E",14.4375,117.3687515,24,203,12.125,-9,adult
2015,20,3.613333333,"50.708333° N, 15.833611° E",10.40625,121.3955327,23,219.1757163,12.21875,-4.9375,adult
2013,18,1.52,"49.8175° N, 15.4730° E",12.375,158.6812592,27,243.3000031,12.25,-3.75,adult
2012,17,4.792156863,"50.708333° N, 15.833611° E",12.46875,115.9739311,21,311.7342817,12.25,-10.5,adult
2010,4,6.790880503,"59.312062° N, 10.26053° E",10.71875,139.4437561,22,301.4000244,12.3125,-10.5625,young
2010,4,7.115064103,"59.312062° N, 10.26053° E",10.71875,139.4437561,22,301.4000244,12.3125,-10.5625,adult
2010,4,7.238193018,"59.312062° N, 10.26053° E",10.71875,139.4437561,22,301.4000244,12.3125,-10.5625,young
2010,4,7.257619048,"59.312062° N, 10.26053° E",10.71875,139.4437561,22,301.4000244,12.3125,-10.5625,adult
2008,6,3.05,"56.4333° N, 12.8° E",12.96666718,154.5333252,22,305.8999939,12.5,-0.13333334,young
2013,17,4.524793659,"55.33376 ° N, 24.00108 ° E",14.96875,129.3937531,24,188.6000061,12.5,-8,adult
2013,7,4.871927438,"59.312062° N, 10.26053° E",12.8125,145.96875,22,221.7999878,12.59375,-6,adult
2013,7,7.067565139,"59.312062° N, 10.26053° E",12.8125,145.96875,22,221.7999878,12.59375,-6,young
2012,9,7.781168265,"58.25° N, 27.4° E",12.40625,164.8062439,23,233,12.59375,-15,adult
2013,7,8.096794872,"59.312062° N, 10.26053° E",12.8125,145.96875,22,221.7999878,12.59375,-6,adult
2013,7,10.22851276,"59.312062° N, 10.26053° E",12.8125,145.96875,22,221.7999878,12.59375,-6,young
2007,1,23.1,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,24.7,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,27.8,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,28.4,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,30.1,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,39.4,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,45.9,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,46.2,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,49.7,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2007,1,53.4,"56.28855° N, 9.962275° E",11.46875,109.875,20,327.3999939,12.59375,-3,young
2013,15,3.261742424,"51.1° N, 10.5° E",11.50930851,210.2460061,26,158.470209,12.62699468,-3.779255319,adult
2012,10,4.47,"56.4333° N, 12.8° E",12.23333359,122.0266647,20,307.2000122,12.63333321,-5,young
2012,10,6.6,"56.4333° N, 12.8° E",12.23333359,122.0266647,20,307.2000122,12.63333321,-5,young
2017,7,5.010968432,"60.1802° N, 5.3770° E",10.25,464.5499878,17,716.2999878,12.6875,0.0625,adult
2015,6,8.460099029,"48.6616° N, 9.3501° E",13.3125,194.3062439,29,163.1000061,12.71875,-3.375,adult
2002,6,7.177263374,"55.33376 ° N, 24.00108 ° E",14.53125,88.875,27,142.1999969,12.90625,-10,adult
2015,20,1.982820329,"50.650833° N, 15.888611° E",11.125,113.2124939,24,208.8000031,12.9375,-4.3125,adult
2015,20,2.953042328,"50.618889° N, 15.850278° E",11.125,110.6125031,25,197.2999878,12.9375,-4.3125,adult
2015,20,3.185483871,"50.664167° N, 15.851944° E",11.125,116.7125015,23,218.1000061,12.9375,-4.3125,adult
2020,19,2.680223285,"58.1599° N, 12.1361° E",9.21875,125.8249969,21.625,262.1687622,13,-0.1875,adult
2007,11,6.854545455,"55.33376 ° N, 24.00108 ° E",12.71875,111.4875031,24,249.6999969,13,-10,adult
2012,17,1.280053897,"50.650833° N, 15.888611° E",13.28125,107.6437531,22,297.1999817,13.09375,-10.1875,adult
2015,9,4.650511464,"59.312062° N, 10.26053° E",10,241.0062561,21,253.3999939,13.09375,-2.5,adult
2012,17,4.773576097,"50.618889° N, 15.850278° E",13.28125,104.0437469,23,281.7999878,13.09375,-10.1875,adult
2012,17,4.779411765,"50.664167° N, 15.851944° E",13.28125,112.2437515,21,310.2000122,13.09375,-10.1875,adult
2015,9,6.429280224,"59.312062° N, 10.26053° E",10,241.0062561,21,253.3999939,13.09375,-2.5,young
2015,9,7.534188034,"59.312062° N, 10.26053° E",10,241.0062561,21,253.3999939,13.09375,-2.5,adult
2015,9,9.548178569,"59.312062° N, 10.26053° E",10,241.0062561,21,253.3999939,13.09375,-2.5,young
2014,19,4.035087719,"50.708333° N, 15.833611° E",10.09375,202.5148235,21.67142857,282.0800062,13.15625,-5,adult
2011,8,7.740457294,"58.25° N, 27.4° E",10.875,87.26249695,26,257.2999878,13.1875,-15,adult
2003,7,6.810582011,"55.33376 ° N, 24.00108 ° E",12.625,105.2374954,25,216.5,13.28125,-8,adult
2011,16,5.1375,"50.708333° N, 15.833611° E",11.15625,130.5485694,20.4375,331.3014082,13.34375,-7.3125,adult
2012,3,5.641156463,"49.5384° N, 7.4065° E",14.03125,150.6374969,26,211,13.34375,-6.125,young
2014,18,4.487719624,"55.33376 ° N, 24.00108 ° E",12.375,123.8000031,26,225.6000061,13.40625,-7,adult
2009,6,6.21E+00,"58.25° N, 27.4° E",12.3125,78.0625,23,299.2000122,13.40625,-7.875,adult
2013,12,2.944078947,"55.6576° N, 13.0824° E",12.875,96.13750458,23,130.1000061,13.5,-2,young
2012,16,4.674484967,"55.33376 ° N, 24.00108 ° E",12.75,126.3999939,24,239.8000031,13.5,-12,adult
2004,8,7.070833333,"55.33376 ° N, 24.00108 ° E",10.5,107.0625,24,230.3999939,13.5,-9,adult
2009,3,4.680593607,"59.312062° N, 10.26053° E",12.34375,165.1500092,21,324,13.53125,-5.5,young
2009,3,6.263034188,"59.312062° N, 10.26053° E",12.34375,165.1500092,21,324,13.53125,-5.5,adult
2009,3,7.566603734,"59.312062° N, 10.26053° E",12.34375,165.1500092,21,324,13.53125,-5.5,young
2009,3,8.993015873,"59.312062° N, 10.26053° E",12.34375,165.1500092,21,324,13.53125,-5.5,adult
2015,14,2.246240602,"55.6576° N, 13.0824° E",10.5,128.7375031,23,151.1999969,13.5625,-1,young
2013,4,5.172704082,"49.5384° N, 7.4065° E",10.5,232.1187439,27,178,13.5625,-3.5,young
2012,14,3.473304473,"51.1° N, 10.5° E",14.04853723,106.0304513,24.25531915,215.0659634,13.58909574,-6.936170213,adult
2008,6,10.83333333,"55.4324° N, 10.2019° E",13.3125,111.7312469,23,207.3000031,13.6875,1,young
2014,19,1.684059827,"50.650833° N, 15.888611° E",10.75,188.8000031,23,271.2999878,13.71875,-5,adult
2014,19,3.738512949,"50.618889° N, 15.850278° E",10.75,183.0999908,23,258.7000122,13.71875,-4,adult
2014,19,3.883701188,"50.664167° N, 15.851944° E",10.75,195.6000061,22,283.5,13.71875,-5,adult
2012,3,7.055102041,"49.4141° N, 7.5709° E",14.375,150.8812561,25,214.8000031,13.75,-6,young
2009,7,5.685714286,"56.4333° N, 12.8° E",11.96666622,128.3866577,21,266.2000122,13.80000019,-3,young
2009,7,8.714285714,"56.4333° N, 12.8° E",11.96666622,128.3866577,21,266.2000122,13.80000019,-3,young
2011,5,5.925460317,"59.312062° N, 10.26053° E",11.8125,153.4375,21,365.4000244,13.8125,-6.5625,adult
2011,5,6.352075472,"59.312062° N, 10.26053° E",11.8125,153.4375,21,365.4000244,13.8125,-6.5625,young
2011,5,7.803333333,"59.312062° N, 10.26053° E",11.8125,153.4375,21,365.4000244,13.8125,-6.5625,adult
