Period,AMR,LngLat,T35,P35,T68max,P68,T911,T122min,Age Group
2013-2014,17.32584635,"50.9086° N, 0.2494° E",11.28125,176.5124969,22.5,142.4000092,15.4375,2.71875,young
2013-2018,14.27739,"50.6191° N, 1.6430° E",13.83333302,125.1333313,22,144.4833374,16.3125,2.833333492,adult
2013-2014,1.315104167,"52.6140° N, 0.8864° E",11.015625,141.9093781,23,156.0500031,14.9375,2,young
2013-2015,0,"55.6576° N, 13.0824° E",11.875,114.8062515,23,156.8666687,14.125,-0.666666687,young
2014-2018,1.877934,"50.358225° N, 32.109725° E",15.93124962,137.3175049,27.60000038,158.6999969,15.64999962,-7.199999809,adult
2013-2018,9.97336,"50.0200° N, 1.4461° E",13.189394,153.7863617,22.33333397,161.8500061,15.73484802,2.393939495,young
2013-2018,13.46986,"50.0200° N, 1.4461° E",13.189394,153.7863617,22.33333397,161.8500061,15.73484802,2.393939495,young
2009-2011,1.920042083,"51.6355° N, 1.1852° W",12,90.83958435,22,175.6333313,14.67708302,0.333333343,young
2009-2016,3.428571429,"51.6355° N, 1.1852° W",11.8828125,137.2789001,22.5,176.0625,14.64453125,1.5703125,young
2009-2016,0,"51.487491° N, 1.034921° W",12.0625,141.3601532,22.75,181.1125031,14.65625,1.5,young
2013-2018,3.646354,"50.0279° N, 2.4152° E",12.92708302,152.5677032,23.66666603,181.7166748,15.22916698,1.083333373,adult
2013-2018,7.159507,"50.0279° N, 2.4152° E",12.92708302,152.5677032,23.66666603,181.7166748,15.22916698,1.083333373,adult
2009-2011,3.419253025,"51.487491° N, 1.034921° W",12.19791698,91.8520813,22.33333397,182.9666595,14.72916698,0.333333343,young
2013-2018,8.728571,"50.2616° N, 28.6667° E",15.29678641,138.429808,26.37005625,185.5878526,14.45127119,-6.5,adult
2012-2013,11.11111111,"51.1° N, 10.5° E",12.77892287,158.1382307,24.12765957,186.7680882,13.10804521,-5.357712766,adult
2013-2019,1.4,"51.8301° N, 2.6608° W",11.7901783,201.9428558,21.2857151,186.9714355,14.0089283,1.964285731,adult
2013-2019,1.8,"51.8301° N, 2.6608° W",11.7901783,201.9428558,21.2857151,186.9714355,14.0089283,1.964285731,adult
2009-2016,2.714285714,"53.88333° N, 1.45° W",10.84375,147.6898499,20.375,196.1750031,13.65234375,0.75,young
2010-2014,3.088235,"49.1989° N, 8.1186° E",13.52499962,129.9024963,26,196.5200043,14.94375038,-1.825000048,adult
2010-2014,11.90196,"49.1989° N, 8.1186° E",13.52499962,129.9024963,26,196.5200043,14.94375038,-1.825000048,adult
2010-2014,16.27451,"49.1989° N, 8.1186° E",13.52499962,129.9024963,26,196.5200043,14.94375038,-1.825000048,young
2011-2016,3,"50.4337° N, 3.6858° W",11.54166698,192.4125061,20.5,201.3833313,14.47395802,3.145833254,young
2009-2011,1.209889532,"53.88333° N, 1.45° W",10.96875,110.4541626,20,202.0666656,13.70833302,-0.666666687,young
2009-2011,1.288795371,"50.4337° N, 3.6858° W",11.63541698,133.1687469,20,203.3666687,14.375,2,young
2010-2014,0,"50.0492° N, 10.2194° E",12.94375038,119.5025024,25.39999962,204.1000061,13.99374962,-3.612499952,adult
2010-2014,0.8039216,"50.0492° N, 10.2194° E",12.94375038,119.5025024,25.39999962,204.1000061,13.99374962,-3.612499952,adult
2010-2014,5.372549,"49.7341° N, 10.1474° E",13.55000019,121.9037552,26,205.0800018,14.53750038,-2.912499905,adult
2010-2014,21.87255,"49.7341° N, 10.1474° E",13.55000019,121.9037552,26,205.0800018,14.53750038,-2.912499905,young
2002-2008,9.792769,"55.33376 ° N, 24.00108 ° E",12.07589245,112.0080338,24.1428566,209.6857147,13.42410755,-5.866071224,adult
2006-2021,2.640996,"55.5604° N, 13.7124° E",11.33007813,124.1820297,22.22265625,212.386322,13.54296875,-1.875,young
2010-2019,2.004257,"55.89726° N, 12.45287° E",12.11874962,116.4087524,21.5,212.7899933,13.63125038,-1.681249976,adult
2013-2015,20.41062802,"48.3033° N, 9.1194° E",4.854166508,140.7895813,18,215.3000031,7.145833492,-4.854166508,young
2001-2016,1.648033126,"51.9194° N, 19.1451° E",14.04296875,123.8515625,25.5625,215.71875,14.546875,-4.75,adult
2010-2019,7.669865,"55.47846° N, 9.64519° E",11.55000019,124.5413361,21,217.9599915,13.95333385,-2.400000095,young
